漢字,部首,画数,学年,追加年,読み
亜,二,7,S,NA,ア
哀,口,9,S,NA,アイ、あわ-れ、あわ-れむ
挨,手,10,S,2010,アイ
愛,心,13,4,NA,アイ
曖,日,17,S,2010,アイ
悪,心,11,3,NA,アク、オ、わる-い
握,手,12,S,NA,アク、にぎ-る
圧,土,5,5,NA,アツ
扱,手,6,S,NA,あつか-う
宛,宀,8,S,2010,あ-てる
嵐,山,12,S,2010,あらし
安,宀,6,3,NA,アン、やす-い
案,木,10,4,NA,アン
暗,日,13,3,NA,アン、くら-い
以,人,5,4,NA,イ
衣,衣,6,4,NA,イ、ころも
位,人,7,4,NA,イ、くらい
囲,囗,7,5,NA,イ、かこ-む、かこ-う
医,酉,7,3,NA,イ
依,人,8,S,NA,イ、（エ）
委,女,8,3,NA,イ、ゆだ-ねる
威,女,9,S,NA,イ
為,爪,9,S,NA,イ
畏,田,9,S,2010,イ、おそ-れる
胃,肉,9,6,NA,イ
尉,寸,11,S,NA,イ
異,田,11,6,NA,イ、こと
移,禾,11,5,NA,イ、うつ-る、うつ-す
萎,艸,11,S,2010,イ、な-える
偉,人,12,S,NA,イ、えら-い
椅,木,12,S,2010,イ
彙,彐,13,S,2010,イ
意,心,13,3,NA,イ
違,辵,13,S,NA,イ、ちが-う、ちが-える
維,糸,14,S,NA,イ
慰,心,15,S,NA,イ、なぐさ-める、なぐさ-む
遺,辵,15,6,NA,イ、（ユイ）
緯,糸,16,S,NA,イ
域,土,11,6,NA,イキ
育,肉,8,3,NA,イク、そだ-つ、そだ-てる、はぐく-む
一,一,1,1,NA,イチ、イツ、ひと、ひと-つ
壱,士,7,S,NA,イチ
逸,辵,11,S,NA,イツ
茨,艸,9,4,2010,（いばら）[7]
芋,艸,6,S,NA,いも
引,弓,4,2,NA,イン、ひ-く、ひ-ける
印,卩,6,4,NA,イン、しるし
因,囗,6,5,NA,イン、よ-る
咽,口,9,S,2010,イン
姻,女,9,S,NA,イン
員,口,10,3,NA,イン
院,阜,10,3,NA,イン
淫,水,11,S,2010,イン、みだ-ら
陰,阜,11,S,NA,イン、かげ、かげ-る
飲,食,12,3,NA,イン、の-む
隠,阜,14,S,NA,イン、かく-す、かく-れる
韻,音,19,S,NA,イン
右,口,5,1,NA,ウ、ユウ、みぎ
宇,宀,6,6,NA,ウ
羽,羽,6,2,NA,ウ、は、はね
雨,雨,8,1,NA,ウ、あめ、（あま）
唄,口,10,S,2010,（うた）
鬱,鬯,29,S,2010,ウツ
畝,田,10,S,NA,うね
浦,水,10,S,NA,うら
運,辵,12,3,NA,ウン、はこ-ぶ
雲,雨,12,2,NA,ウン、くも
永,水,5,5,NA,エイ、なが-い
泳,水,8,3,NA,エイ、およ-ぐ
英,艸,8,4,NA,エイ
映,日,9,6,NA,エイ、うつ-る、うつ-す、は-える
栄,木,9,4,NA,エイ、さか-える、は-え、は-える
営,火,12,5,NA,エイ、いとな-む
詠,言,12,S,NA,エイ、よ-む
影,彡,15,S,NA,エイ、かげ
鋭,金,15,S,NA,エイ、するど-い
衛,行,16,5,NA,エイ
易,日,8,5,NA,エキ、イ、やさ-しい
疫,疒,9,S,NA,エキ、（ヤク）
益,皿,10,5,NA,エキ、（ヤク）
液,水,11,5,NA,エキ
駅,馬,14,3,NA,エキ
悦,心,10,S,NA,エツ
越,走,12,S,NA,エツ、こ-す、こ-える
謁,言,15,S,NA,エツ
閲,門,15,S,NA,エツ
円,囗,4,1,NA,エン、まる-い
延,廴,8,6,NA,エン、の-びる、の-べる、の-ばす
沿,水,8,6,NA,エン、そ-う
炎,火,8,S,NA,エン、ほのお
怨,心,9,S,2010,エン、オン
宴,宀,10,S,NA,エン
媛,女,12,4,2010,エン
援,手,12,S,NA,エン
園,囗,13,2,NA,エン、その
煙,火,13,S,NA,エン、けむ-る、けむり、けむ-い
猿,犬,13,S,1981,エン、さる
遠,辵,13,2,NA,エン、（オン）、とお-い
鉛,金,13,S,NA,エン、なまり
塩,鹵,13,4,NA,エン、しお
演,水,14,5,NA,エン
縁,糸,15,S,NA,エン、ふち
艶,色,19,S,2010,エン、つや
汚,水,6,S,NA,オ、けが-す、けが-れる、けが-らわしい、よご-す、よご-れる、きたな-い
王,玉,4,1,NA,オウ
凹,凵,5,S,1981,オウ
央,大,5,3,NA,オウ
応,心,7,5,NA,オウ、こた-える
往,彳,8,5,NA,オウ
押,手,8,S,NA,オウ、お-す、お-さえる
旺,日,8,S,2010,オウ
欧,欠,8,S,NA,オウ
殴,殳,8,S,NA,オウ、なぐ-る
桜,木,10,5,NA,オウ、さくら
翁,羽,10,S,NA,オウ
奥,大,12,S,NA,オウ、おく
横,木,15,3,NA,オウ、よこ
岡,山,8,4,2010,（おか）[7]
屋,尸,9,3,NA,オク、や
億,人,15,4,NA,オク
憶,心,16,S,NA,オク
臆,肉,17,S,2010,オク
虞,虍,13,S,NA,おそれ
乙,乙,1,S,NA,オツ
俺,人,10,S,2010,おれ
卸,卩,9,S,NA,おろ-す、おろし
音,音,9,1,NA,オン、イン、おと、ね
恩,心,10,6,NA,オン
温,水,12,3,NA,オン、あたた-か、あたた-かい、あたた-まる、あたた-める
穏,禾,16,S,NA,オン、おだ-やか
下,一,3,1,NA,カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる
化,匕,4,3,NA,カ、ケ、ば-ける、ば-かす
火,火,4,1,NA,カ、ひ、（ほ）
加,力,5,4,NA,カ、くわ-える、くわ-わる
可,口,5,5,NA,カ
仮,人,6,5,NA,カ、（ケ）、かり
何,人,7,2,NA,カ、なに、（なん）
花,艸,7,1,NA,カ、はな
佳,人,8,S,NA,カ
価,人,8,5,NA,カ、あたい
果,木,8,4,NA,カ、は-たす、は-てる、は-て
河,水,8,5,NA,カ、かわ
苛,艸,8,S,2010,カ
科,禾,9,2,NA,カ
架,木,9,S,NA,カ、か-ける、か-かる
夏,夊,10,2,NA,カ、（ゲ）、なつ
家,宀,10,2,NA,カ、ケ、いえ、や
荷,艸,10,3,NA,カ、に
華,艸,10,S,NA,カ、（ケ）、はな
菓,艸,11,S,NA,カ
貨,貝,11,4,NA,カ
渦,水,12,S,1981,カ、うず
過,辵,12,5,NA,カ、す-ぎる、す-ごす、あやま-つ、あやま-ち
嫁,女,13,S,NA,カ、よめ、とつ-ぐ
暇,日,13,S,NA,カ、ひま
禍,示,13,S,NA,カ
靴,革,13,S,1981,カ、くつ
寡,宀,14,S,NA,カ
歌,欠,14,2,NA,カ、うた、うた-う
箇,竹,14,S,NA,カ
稼,禾,15,S,1981,カ、かせ-ぐ
課,言,15,4,NA,カ
蚊,虫,10,S,NA,か
牙,牙,4,S,2010,ガ、（ゲ）、きば
瓦,瓦,5,S,2010,ガ、かわら
我,戈,7,6,NA,ガ、われ、わ
画,田,8,2,NA,ガ、カク
芽,艸,8,4,NA,ガ、め
賀,貝,12,4,NA,ガ
雅,隹,13,S,NA,ガ
餓,食,15,S,NA,ガ
介,人,4,S,NA,カイ
回,囗,6,2,NA,カイ、（エ）、まわ-る、まわ-す
灰,火,6,6,NA,カイ、はい
会,曰,6,2,NA,カイ、エ、あ-う
快,心,7,5,NA,カイ、こころよ-い
戒,戈,7,S,NA,カイ、いまし-める
改,攴,7,4,NA,カイ、あらた-める、あらた-まる
怪,心,8,S,NA,カイ、あや-しい、あや-しむ
拐,手,8,S,1981,カイ
悔,心,9,S,NA,カイ、く-いる、く-やむ、くや-しい
海,水,9,2,NA,カイ、うみ
界,田,9,3,NA,カイ
皆,白,9,S,NA,カイ、みな
械,木,11,4,NA,カイ
絵,糸,12,2,NA,カイ、エ
開,門,12,3,NA,カイ、ひら-く、ひら-ける、あ-く、あ-ける
階,阜,12,3,NA,カイ
塊,土,13,S,NA,カイ、かたまり
楷,木,13,S,2010,カイ
解,角,13,5,NA,カイ、ゲ、と-く、と-かす、と-ける
潰,水,15,S,2010,カイ、つぶ-す、つぶ-れる
壊,土,16,S,NA,カイ、こわ-す、こわ-れる
懐,心,16,S,NA,カイ、ふところ、なつ-かしい、なつ-かしむ、なつ-く、なつ-ける
諧,言,16,S,2010,カイ
貝,貝,7,1,NA,かい
外,夕,5,2,NA,ガイ、ゲ、そと、ほか、はず-す、はず-れる
劾,力,8,S,NA,ガイ
害,宀,10,4,NA,ガイ
崖,山,11,S,2010,ガイ、がけ
涯,水,11,S,1981,ガイ
街,行,12,4,NA,ガイ、（カイ）、まち
慨,心,13,S,NA,ガイ
蓋,艸,13,S,2010,ガイ、ふた
該,言,13,S,NA,ガイ
概,木,14,S,NA,ガイ
骸,骨,16,S,2010,ガイ
垣,土,9,S,1981,かき
柿,木,9,S,2010,かき
各,口,6,4,NA,カク、おのおの
角,角,7,2,NA,カク、かど、つの
拡,手,8,6,NA,カク
革,革,9,6,NA,カク、かわ
格,木,10,5,NA,カク、（コウ）
核,木,10,S,NA,カク
殻,殳,11,S,1981,カク、から
郭,邑,11,S,NA,カク
覚,見,12,4,NA,カク、おぼ-える、さ-ます、さ-める
較,車,13,S,NA,カク
隔,阜,13,S,NA,カク、へだ-てる、へだ-たる
閣,門,14,6,NA,カク
確,石,15,5,NA,カク、たし-か、たし-かめる
獲,犬,16,S,NA,カク、え-る
嚇,口,17,S,NA,カク
穫,禾,18,S,NA,カク
学,子,8,1,NA,ガク、まな-ぶ
岳,山,8,S,NA,ガク、たけ
楽,木,13,2,NA,ガク、ラク、たの-しい、たの-しむ
額,頁,18,5,NA,ガク、ひたい
顎,頁,18,S,2010,ガク、あご
掛,手,11,S,NA,か-ける、か-かる、かかり
潟,水,15,4,1981,かた
括,手,9,S,NA,カツ
活,水,9,2,NA,カツ
喝,口,11,S,1981,カツ
渇,水,11,S,NA,カツ、かわ-く
割,刀,12,6,NA,カツ、わ-る、わり、わ-れる、さ-く
葛,艸,12,S,2010,カツ、くず
滑,水,13,S,NA,カツ、コツ、すべ-る、なめ-らか
褐,衣,13,S,1981,カツ
轄,車,17,S,NA,カツ
且,一,5,S,NA,か-つ
株,木,10,6,NA,かぶ
釜,金,10,S,2010,かま
鎌,金,18,S,2010,かま
刈,刀,4,S,NA,か-る
干,干,3,6,NA,カン、ほ-す、ひ-る
刊,刀,5,5,NA,カン
甘,甘,5,S,NA,カン、あま-い、あま-える、あま-やかす
汗,水,6,S,NA,カン、あせ
缶,缶,6,S,1981,カン
完,宀,7,4,NA,カン
肝,肉,7,S,NA,カン、きも
官,宀,8,4,NA,カン
冠,冖,9,S,NA,カン、かんむり
巻,卩,9,6,NA,カン、ま-く、まき
看,目,9,6,NA,カン
陥,阜,10,S,NA,カン、おちい-る、おとしい-れる
乾,乙,11,S,NA,カン、かわ-く、かわ-かす
勘,力,11,S,NA,カン
患,心,11,S,NA,カン、わずら-う
貫,貝,11,S,NA,カン、つらぬ-く
寒,宀,12,3,NA,カン、さむ-い
喚,口,12,S,NA,カン
堪,土,12,S,NA,カン、た-える
換,手,12,S,NA,カン、か-える、か-わる
敢,攴,12,S,NA,カン
棺,木,12,S,NA,カン
款,欠,12,S,NA,カン
間,門,12,2,NA,カン、ケン、あいだ、ま
閑,門,12,S,NA,カン
勧,力,13,S,NA,カン、すす-める
寛,宀,13,S,NA,カン
幹,干,13,5,NA,カン、みき
感,心,13,3,NA,カン
漢,水,13,3,NA,カン
慣,心,14,5,NA,カン、な-れる、な-らす
管,竹,14,4,NA,カン、くだ
関,門,14,4,NA,カン、せき、かか-わる
歓,欠,15,S,NA,カン
監,皿,15,S,NA,カン
緩,糸,15,S,NA,カン、ゆる-い、ゆる-やか、ゆる-む、ゆる-める
憾,心,16,S,NA,カン
還,辵,16,S,NA,カン
館,食,16,3,NA,カン、やかた
環,玉,17,S,NA,カン
簡,竹,18,6,NA,カン
観,見,18,4,NA,カン
韓,韋,18,S,2010,カン
艦,舟,21,S,NA,カン
鑑,金,23,S,NA,カン、かんが-みる
丸,丶,3,2,NA,ガン、まる、まる-い、まる-める
含,口,7,S,NA,ガン、ふく-む、ふく-める
岸,山,8,3,NA,ガン、きし
岩,山,8,2,NA,ガン、いわ
玩,玉,8,S,2010,ガン
眼,目,11,5,NA,ガン、（ゲン）、まなこ
頑,頁,13,S,1981,ガン
顔,頁,18,2,NA,ガン、かお
願,頁,19,4,NA,ガン、ねが-う
企,人,6,S,NA,キ、くわだ-てる
伎,人,6,S,2010,キ
危,卩,6,6,NA,キ、あぶ-ない、あや-うい、あや-ぶむ
机,木,6,6,NA,キ、つくえ
気,气,6,1,NA,キ、ケ
岐,山,7,4,NA,キ
希,巾,7,4,NA,キ
忌,心,7,S,NA,キ、い-む、い-まわしい
汽,水,7,2,NA,キ
奇,大,8,S,NA,キ
祈,示,8,S,NA,キ、いの-る
季,子,8,4,NA,キ
紀,糸,9,5,NA,キ
軌,車,9,S,NA,キ
既,无,10,S,NA,キ、すで-に
記,言,10,2,NA,キ、しる-す
起,走,10,3,NA,キ、お-きる、お-こる、お-こす
飢,食,10,S,NA,キ、う-える
鬼,鬼,10,S,NA,キ、おに
帰,止,10,2,NA,キ、かえ-る、かえ-す
基,土,11,5,NA,キ、もと、もとい
寄,宀,11,5,NA,キ、よ-る、よ-せる
規,見,11,5,NA,キ
亀,龜,11,S,2010,キ、かめ
喜,口,12,5,NA,キ、よろこ-ぶ
幾,幺,12,S,NA,キ、いく
揮,手,12,6,NA,キ
期,月,12,3,NA,キ、（ゴ）
棋,木,12,S,NA,キ
貴,貝,12,6,NA,キ、たっと-い、とうと-い、たっと-ぶ、とうと-ぶ
棄,木,13,S,NA,キ
毀,殳,13,S,2010,キ
旗,方,14,4,NA,キ、はた
器,口,15,4,NA,キ、うつわ
畿,田,15,S,2010,キ
輝,車,15,S,NA,キ、かがや-く
機,木,16,4,NA,キ、はた
騎,馬,18,S,NA,キ
技,手,7,5,NA,ギ、わざ
宜,宀,8,S,NA,ギ
偽,人,11,S,NA,ギ、いつわ-る、にせ
欺,欠,12,S,NA,ギ、あざむ-く
義,羊,13,5,NA,ギ
疑,疋,14,6,NA,ギ、うたが-う
儀,人,15,S,NA,ギ
戯,戈,15,S,NA,ギ、たわむ-れる
擬,手,17,S,NA,ギ
犠,牛,17,S,NA,ギ
議,言,20,4,NA,ギ
菊,艸,11,S,NA,キク
吉,口,6,S,NA,キチ、キツ
喫,口,12,S,NA,キツ
詰,言,13,S,NA,キツ、つ-める、つ-まる、つ-む
却,卩,7,S,NA,キャク
客,宀,9,3,NA,キャク、カク
脚,肉,11,S,NA,キャク、（キャ）、あし
逆,辵,9,5,NA,ギャク、さか、さか-らう
虐,虍,9,S,NA,ギャク、しいた-げる
九,乙,2,1,NA,キュウ、ク、ここの、ここの-つ
久,丿,3,5,NA,キュウ、（ク）、ひさ-しい
及,又,3,S,NA,キュウ、およ-ぶ、およ-び、およ-ぼす
弓,弓,3,2,NA,キュウ、ゆみ
丘,一,5,S,NA,キュウ、おか
旧,臼,5,5,NA,キュウ
休,人,6,1,NA,キュウ、やす-む、やす-まる、やす-める
吸,口,6,6,NA,キュウ、す-う
朽,木,6,S,NA,キュウ、く-ちる
臼,臼,6,S,2010,キュウ、うす
求,水,7,4,NA,キュウ、もと-める
究,穴,7,3,NA,キュウ、きわ-める
泣,水,8,4,NA,キュウ、な-く
急,心,9,3,NA,キュウ、いそ-ぐ
級,糸,9,3,NA,キュウ
糾,糸,9,S,NA,キュウ
宮,宀,10,3,NA,キュウ、グウ、（ク）、みや
救,攴,11,5,NA,キュウ、すく-う
球,玉,11,3,NA,キュウ、たま
給,糸,12,4,NA,キュウ
嗅,口,13,S,2010,キュウ、か-ぐ
窮,穴,15,S,NA,キュウ、きわ-める、きわ-まる
牛,牛,4,2,NA,ギュウ、うし
去,厶,5,3,NA,キョ、コ、さ-る
巨,工,5,S,NA,キョ
居,尸,8,5,NA,キョ、い-る
拒,手,8,S,NA,キョ、こば-む
拠,手,8,S,NA,キョ、コ
挙,手,10,4,NA,キョ、あ-げる、あ-がる
虚,虍,11,S,NA,キョ、（コ）
許,言,11,5,NA,キョ、ゆる-す
距,足,12,S,NA,キョ
魚,魚,11,2,NA,ギョ、うお、さかな
御,彳,12,S,NA,ギョ、ゴ、おん
漁,水,14,4,NA,ギョ、リョウ
凶,凵,4,S,NA,キョウ
共,八,6,4,NA,キョウ、とも
叫,口,6,S,NA,キョウ、さけ-ぶ
狂,犬,7,S,NA,キョウ、くる-う、くる-おしい
京,亠,8,2,NA,キョウ、ケイ
享,亠,8,S,NA,キョウ
供,人,8,6,NA,キョウ、（ク）、そな-える、とも
協,十,8,4,NA,キョウ
況,水,8,S,NA,キョウ
峡,山,9,S,NA,キョウ
挟,手,9,S,1981,キョウ、はさ-む、はさ-まる
狭,犬,9,S,NA,キョウ、せま-い、せば-める、せば-まる
恐,心,10,S,NA,キョウ、おそ-れる、おそ-ろしい
恭,心,10,S,NA,キョウ、うやうや-しい
胸,肉,10,6,NA,キョウ、むね、（むな）
脅,肉,10,S,NA,キョウ、おびや-かす、おど-す、おど-かす
強,弓,11,2,NA,キョウ、ゴウ、つよ-い、つよ-まる、つよ-める、し-いる
教,攴,11,2,NA,キョウ、おし-える、おそ-わる
郷,邑,11,6,NA,キョウ、ゴウ
境,土,14,5,NA,キョウ、（ケイ）、さかい
橋,木,16,3,NA,キョウ、はし
矯,矢,17,S,1981,キョウ、た-める
鏡,金,19,4,NA,キョウ、かがみ
競,立,20,4,NA,キョウ、ケイ、きそ-う、せ-る
響,音,20,S,NA,キョウ、ひび-く
驚,馬,22,S,NA,キョウ、おどろ-く、おどろ-かす
仰,人,6,S,NA,ギョウ、（コウ）、あお-ぐ、おお-せ
暁,日,12,S,NA,ギョウ、あかつき
業,木,13,3,NA,ギョウ、ゴウ、わざ
凝,冫,16,S,NA,ギョウ、こ-る、こ-らす
曲,曰,6,3,NA,キョク、ま-がる、ま-げる
局,尸,7,3,NA,キョク
極,木,12,4,NA,キョク、ゴク、きわ-める、きわ-まる、きわ-み
玉,玉,5,1,NA,ギョク、たま
巾,巾,3,S,2010,キン
斤,斤,4,S,NA,キン
均,土,7,5,NA,キン
近,辵,7,2,NA,キン、ちか-い
金,金,8,1,NA,キン、コン、かね、（かな）
菌,艸,11,S,NA,キン
勤,力,12,6,NA,キン、（ゴン）、つと-める、つと-まる
琴,玉,12,S,NA,キン、こと
筋,竹,12,6,NA,キン、すじ
僅,人,13,S,2010,キン、わず-か
禁,示,13,5,NA,キン
緊,糸,15,S,NA,キン
錦,金,16,S,2010,キン、にしき
謹,言,17,S,NA,キン、つつし-む
襟,衣,18,S,1981,キン、えり
吟,口,7,S,NA,ギン
銀,金,14,3,NA,ギン
区,匸,4,3,NA,ク
句,口,5,5,NA,ク
苦,艸,8,3,NA,ク、くる-しい、くる-しむ、くる-しめる、にが-い、にが-る
駆,馬,14,S,NA,ク、か-ける、か-る
具,八,8,3,NA,グ
惧,心,11,S,2010,グ
愚,心,13,S,NA,グ、おろ-か
空,穴,8,1,NA,クウ、そら、あ-く、あ-ける、から
偶,人,11,S,NA,グウ
遇,辵,12,S,NA,グウ
隅,阜,12,S,1981,グウ、すみ
串,丨,7,S,2010,くし
屈,尸,8,S,NA,クツ
掘,手,11,S,NA,クツ、ほ-る
窟,穴,13,S,2010,クツ
熊,火,14,4,2010,くま
繰,糸,19,S,NA,く-る
君,口,7,3,NA,クン、きみ
訓,言,10,4,NA,クン
勲,力,15,S,NA,クン
薫,艸,16,S,NA,クン、かお-る
軍,車,9,4,NA,グン
郡,邑,10,4,NA,グン
群,羊,13,4,NA,グン、む-れる、む-れ、（むら）
兄,儿,5,2,NA,ケイ、（キョウ）、あに
刑,刀,6,S,NA,ケイ
形,彡,7,2,NA,ケイ、ギョウ、かた、かたち
系,糸,7,6,NA,ケイ
径,彳,8,4,NA,ケイ
茎,艸,8,S,NA,ケイ、くき
係,人,9,3,NA,ケイ、かか-る、かかり
型,土,9,5,NA,ケイ、かた
契,大,9,S,NA,ケイ、ちぎ-る
計,言,9,2,NA,ケイ、はか-る、はか-らう
恵,心,10,S,NA,ケイ、エ、めぐ-む
啓,口,11,S,NA,ケイ
掲,手,11,S,NA,ケイ、かか-げる
渓,水,11,S,1981,ケイ
経,糸,11,5,NA,ケイ、キョウ、へ-る
蛍,虫,11,S,1981,ケイ、ほたる
敬,攴,12,6,NA,ケイ、うやま-う
景,日,12,4,NA,ケイ
軽,車,12,3,NA,ケイ、かる-い、かろ-やか
傾,人,13,S,NA,ケイ、かたむ-く、かたむ-ける
携,手,13,S,NA,ケイ、たずさ-える、たずさ-わる
継,糸,13,S,NA,ケイ、つ-ぐ
詣,言,13,S,2010,ケイ、もう-でる
慶,心,15,S,NA,ケイ
憬,心,15,S,2010,ケイ
稽,禾,15,S,2010,ケイ
憩,心,16,S,NA,ケイ、いこ-い、いこ-う
警,言,19,6,NA,ケイ
鶏,鳥,19,S,NA,ケイ、にわとり
芸,艸,7,4,NA,ゲイ
迎,辵,7,S,NA,ゲイ、むか-える
鯨,魚,19,S,NA,ゲイ、くじら
隙,阜,13,S,2010,ゲキ、すき
劇,刀,15,6,NA,ゲキ
撃,手,15,S,NA,ゲキ、う-つ
激,水,16,6,NA,ゲキ、はげ-しい
桁,木,10,S,2010,けた
欠,欠,4,4,NA,ケツ、か-ける、か-く
穴,穴,5,6,NA,ケツ、あな
血,血,6,3,NA,ケツ、ち
決,水,7,3,NA,ケツ、き-める、き-まる
結,糸,12,4,NA,ケツ、むす-ぶ、ゆ-う、ゆ-わえる
傑,人,13,S,NA,ケツ
潔,水,15,5,NA,ケツ、いさぎよ-い
月,月,4,1,NA,ゲツ、ガツ、つき
犬,犬,4,1,NA,ケン、いぬ
件,人,6,5,NA,ケン
見,見,7,1,NA,ケン、み-る、み-える、み-せる
券,刀,8,6,NA,ケン
肩,肉,8,S,NA,ケン、かた
建,廴,9,4,NA,ケン、（コン）、た-てる、た-つ
研,石,9,3,NA,ケン、と-ぐ
県,糸,9,3,NA,ケン
倹,人,10,S,NA,ケン
兼,八,10,S,NA,ケン、か-ねる
剣,刀,10,S,NA,ケン、つるぎ
拳,手,10,S,2010,ケン、こぶし
軒,車,10,S,NA,ケン、のき
健,人,11,4,NA,ケン、すこ-やか
険,阜,11,5,NA,ケン、けわ-しい
圏,囗,12,S,NA,ケン
堅,土,12,S,NA,ケン、かた-い
検,木,12,5,NA,ケン
嫌,女,13,S,1981,ケン、（ゲン）、きら-う、いや
献,犬,13,S,NA,ケン、（コン）
絹,糸,13,6,NA,ケン、きぬ
遣,辵,13,S,NA,ケン、つか-う、つか-わす
権,木,15,6,NA,ケン、（ゴン）
憲,心,16,6,NA,ケン
賢,貝,16,S,NA,ケン、かしこ-い
謙,言,17,S,NA,ケン
鍵,金,17,S,2010,ケン、かぎ
繭,糸,18,S,NA,ケン、まゆ
顕,頁,18,S,NA,ケン
験,馬,18,4,NA,ケン、（ゲン）
懸,心,20,S,NA,ケン、（ケ）、か-ける、か-かる
元,儿,4,2,NA,ゲン、ガン、もと
幻,幺,4,S,NA,ゲン、まぼろし
玄,玄,5,S,NA,ゲン
言,言,7,2,NA,ゲン、ゴン、い-う、こと
弦,弓,8,S,NA,ゲン、つる
限,阜,9,5,NA,ゲン、かぎ-る
原,厂,10,2,NA,ゲン、はら
現,玉,11,5,NA,ゲン、あらわ-れる、あらわ-す
舷,舟,11,S,2010,ゲン
減,水,12,5,NA,ゲン、へ-る、へ-らす
源,水,13,6,NA,ゲン、みなもと
厳,口,17,6,NA,ゲン、（ゴン）、おごそ-か、きび-しい
己,己,3,6,NA,コ、キ、おのれ
戸,戶,4,2,NA,コ、と
古,口,5,2,NA,コ、ふる-い、ふる-す
呼,口,8,6,NA,コ、よ-ぶ
固,囗,8,4,NA,コ、かた-める、かた-まる、かた-い
股,肉,8,S,2010,コ、また
虎,虍,8,S,2010,コ、とら
孤,子,9,S,NA,コ
弧,弓,9,S,NA,コ
故,攴,9,5,NA,コ、ゆえ
枯,木,9,S,NA,コ、か-れる、か-らす
個,人,10,5,NA,コ
庫,广,10,3,NA,コ、（ク）
湖,水,12,3,NA,コ、みずうみ
雇,隹,12,S,NA,コ、やと-う
誇,言,13,S,NA,コ、ほこ-る
鼓,鼓,13,S,NA,コ、つづみ
錮,金,16,S,2010,コ
顧,頁,21,S,NA,コ、かえり-みる
五,二,4,1,NA,ゴ、いつ、いつ-つ
互,二,4,S,NA,ゴ、たが-い
午,十,4,2,NA,ゴ
呉,口,7,S,NA,ゴ
後,彳,9,2,NA,ゴ、コウ、のち、うし-ろ、あと、おく-れる
娯,女,10,S,NA,ゴ
悟,心,10,S,NA,ゴ、さと-る
碁,石,13,S,NA,ゴ
語,言,14,2,NA,ゴ、かた-る、かた-らう
誤,言,14,6,NA,ゴ、あやま-る
護,言,20,5,NA,ゴ
口,口,3,1,NA,コウ、ク、くち
工,工,3,2,NA,コウ、ク
公,八,4,2,NA,コウ、おおやけ
勾,勹,4,S,2010,コウ
孔,子,4,S,NA,コウ
功,力,5,4,NA,コウ、（ク）
巧,工,5,S,NA,コウ、たく-み
広,广,5,2,NA,コウ、ひろ-い、ひろ-まる、ひろ-める、ひろ-がる、ひろ-げる
甲,田,5,S,NA,コウ、カン
交,亠,6,2,NA,コウ、まじ-わる、まじ-える、ま-じる、ま-ざる、ま-ぜる、か-う、か-わす
光,儿,6,2,NA,コウ、ひか-る、ひかり
向,口,6,3,NA,コウ、む-く、む-ける、む-かう、む-こう
后,口,6,6,NA,コウ
好,女,6,4,NA,コウ、この-む、す-く
江,水,6,S,NA,コウ、え
考,老,6,2,NA,コウ、かんが-える
行,行,6,2,NA,コウ、ギョウ、（アン）、い-く、ゆ-く、おこな-う
坑,土,7,S,NA,コウ
孝,子,7,6,NA,コウ
抗,手,7,S,NA,コウ
攻,攴,7,S,NA,コウ、せ-める
更,曰,7,S,NA,コウ、さら、ふ-ける、ふ-かす
効,攴,8,5,NA,コウ、き-く
幸,干,8,3,NA,コウ、さいわ-い、さち、しあわ-せ
拘,手,8,S,NA,コウ
肯,肉,8,S,NA,コウ
侯,人,9,S,NA,コウ
厚,厂,9,5,NA,コウ、あつ-い
恒,心,9,S,NA,コウ
洪,水,9,S,1981,コウ
皇,白,9,6,NA,コウ、オウ
紅,糸,9,6,NA,コウ、（ク）、べに、くれない
荒,艸,9,S,NA,コウ、あら-い、あ-れる、あ-らす
郊,邑,9,S,NA,コウ
香,香,9,4,NA,コウ、（キョウ）、か、かお-り、かお-る
候,人,10,4,NA,コウ、そうろう
校,木,10,1,NA,コウ
耕,耒,10,5,NA,コウ、たがや-す
航,舟,10,5,NA,コウ
貢,貝,10,S,NA,コウ、（ク）、みつ-ぐ
降,阜,10,6,NA,コウ、お-りる、お-ろす、ふ-る
高,高,10,2,NA,コウ、たか-い、たか、たか-まる、たか-める
康,广,11,4,NA,コウ
控,手,11,S,NA,コウ、ひか-える
梗,木,11,S,2010,コウ
黄,黃,11,2,NA,コウ、オウ、き、（こ）
喉,口,12,S,2010,コウ、のど
慌,心,12,S,NA,コウ、あわ-てる、あわ-ただしい
港,水,12,3,NA,コウ、みなと
硬,石,12,S,NA,コウ、かた-い
絞,糸,12,S,NA,コウ、しぼ-る、し-める、し-まる
項,頁,12,S,NA,コウ
溝,水,13,S,1981,コウ、みぞ
鉱,金,13,5,NA,コウ
構,木,14,5,NA,コウ、かま-える、かま-う
綱,糸,14,S,NA,コウ、つな
酵,酉,14,S,NA,コウ
稿,禾,15,S,NA,コウ
興,臼,16,5,NA,コウ、キョウ、おこ-る、おこ-す
衡,行,16,S,NA,コウ
鋼,金,16,6,NA,コウ、はがね
講,言,17,5,NA,コウ
購,貝,17,S,NA,コウ
乞,乙,3,S,2010,こ-う
号,虍,5,3,NA,ゴウ
